Код,Название,Шанс %,Количество,Навыки
80,Легендарный,43,111,"Оставшиеся свободные шансы:, Святой урон, Бросает во врага ядовитый диск, нанося {0:, Взрывная пуля, Компасс, указывающий на случайную ветку, в навыке которой спрятано сокровище. Если вы изучите навык с сокровищем, вы получите {0} случайных навыков этой ветки., Каждая, Каждые {0} сек. наносит противнику маг. урон, равный общему количеству навыков веток, Ненависть и боль прошлого воплотились в этом ослепительном золотом и белом одеянии. Теперь он нес, из случайного набора навыков., переш"
90,Тип 90,31,180,"доход достиг максимума. Автоматически получено все, может вызывать критические атаки с множителем, дух, обладающий запасом здоровья: ({1} + уровень героя, За каждые {0} потерянные жизни следующие {1} обновления магазина бесплатны(суммируется)., ед. каждые {0} сек., урона в, Дух оленя, что скользит меж деревьев, храня вековые тайны глубокого леса., ЗОЛОТОЙ ДОХОД], ЗОЛОТОЙ ОБЩИЙ"
95,Тип 95,26,230,"Найдите {0} загадочного, с, а также восстанавливает энергию при потере, умирает, он накладывает ({0}+, на поле, ПЕРВОБЫТНАЯ РЕЛИКВИЯ, Магическое уклонение, Мастерство урона, испепеляющее пламя поглощает всех на сво, За каждые 100 золота в конце раунда вы получаете 10 бонусного золота в следующем, максимум до 50., РЕДКИЙ УР.2"
46,Тип 46,46,10,"раунд---, Хотите ли вы использовать один, Ледяная клетка, фактическое поглощение урона щитами, В начале раунда вы получаете дополнительно ({0} + [уровень героя] х {1}) золота, Авангардная атака, Морозный урон, Маг-Ронин, дает определенное количество, Ошибка завершения турнира"
66,Тип 66,56,70,"Итого, ВЕТКА-РАНЫ, восстановить {1}  ед., на врага каждые {0} с, ускоряет нанесение, Редкие навыки дополнительно дают {1} опыта., существует {0:, а так же накладывает {3:, Рыцарь Ч, увернуться, н. Подробности в интерфейсе Турнира"
24,Тип 24,0,70,"потерян, Не удалось получить награды за квест для новичков!, Ран, наносят дополнительно {1:, Получите {0} золота единоразово. Получение этого сокровища забер, Заморозка, Ядовитый щит, ный Перец-стрелок, Редкие навыки, Требуется завершение турнира и еще 1"
123,Тип 123,73,229,"УРОВЕНЬ, ПОДЕЛИТЬСЯ ДУХОМ, на враге дополнительно вызывается {3} сосулька., критический удар, СТРАХОВОЙ ПОЛИС, В состоянии ярости увеличивает, Снижает максимальное здоровье, одновременно!, раннее естественное заживление имеет высокую экономическую эффективность., Включить"
131,Тип 131,85,111,"Выбрать ветку, СИЛЬНЕЙШИЙ, уровней., крит., ДРЕВНЯЯ РЕЛИКВИЯ, Магический крит, В состоянии ярости при угрозе смерти тратит {2}, Когда высоко взошла фиолетовая луна, она превратилась в ночную охотницу, каждая стрела которой пронзила душу врага., Увеличьте количество стаков яда и урон от одного яда, при этом последний имеет приоритет., нные {3} не будут доступны для выбора."
182,Тип 182,63,210,"Неизвестная ошибка, героя. Магический урон., Каждые {0} потерянных, Автор:, т {0} случайных навыка в выбранной ветке. Может быть использовано {1} раз., Кража здоровья, Исцеляющее Ускорение, Олицетворяет настоящую любовь, здоровье, репутацию и счастье., обезвредил бомбу!, Навык_2486 (=i, ! )"
192,Тип 192,85,224,"Пожалуйста, разблокируйте [{0}]., бросает банку с вином, нанося противнику {1:, Активный Токсин, Выпускает {0} случайных снарядов, не являющихся базовой атакой, каждый из которых наносит не менее {1:, Получить сразу от {0} до {1} ЗОЛОТА. (На удачу!), Минимум - {2} стак., т ({0:, Сияние сгущается в ряби звездной пыли, а зов кита становится неземным эхом, растворяющимся в безграничном звездном свете., Подарочный набор к Новому году, Навык_2496 (?V)"
212,Тип 212,71,71,"Установка не удалась, стаков, т герою {1:, Получите {0} золота за каждое полученное умение, После победы в бою у вас есть {0:, Мин. урон, Цветок, который можно использовать для поддержки вашего любимого игрока в турнире., РАЗРУШИТЕЛЬНОЕ ВОЗДЕЙСТВИЕ, Ошибка кода подтверждения!, Навык_2516 (ogWp)"
227,Тип 227,43,127,"Бонус за серию побед: {0}., т {1:, здоровья на {1:, ед. магического урона. Если вы находитесь в состоянии, шанс получить {1} очко опыта для ветки с наименьшим уровнем., Ультимативное исцеление, Способ получения: Руководство по Сезону), зды складываются в мелодию. Падая, отражаясь и приводя вс, Гостевой режим небезопасен и ограничен., Навык_2531 (D;)"
239,Тип 239,81,57,"Невозможно создать команду во время сопоставления., Чумной колдун, уровень героя) слоев эффекта, ГОБЛИНСКАЯ КАТАПУЛЬТА, т случайную награду. Ценность награды увеличивается с вашей серией поражений., После запуска, Отбросьте бесполезные милосердие и доброту. Здесь, в пустынных песках, выживают только самые сильные!, Свидетельство о закрытом тестировании, Счастливый звезда, Навык_2543 (U], ~j)"
253,Тип 253,66,255,"Не удалось присоединиться к команде, увеличивает, разницу между, здоровье в размере (, Второй НАВЫК, купленный за ход, не да, накладывает на врага {1:, Ученик магии, Кажется, этот медоед испытывает настоящую страсть к созданию видео., Популярность определяется количеством полученных цветов. Один выбывший игрок с наибольшим количеством цветов проходит в финал., Навык_2557 (3\, ESS)"
